user_input,retrieved_contexts,response,reference,answer_relevancy,faithfulness,context_precision,context_recall
长城有多长？,"['长城位于北京的北面，始建于春秋战国时期。那时各个诸侯国为了互相防御，就在自己境内地势险要的地方修筑长城。秦始皇统一中国后，为防御北方匈奴的入侵，便将各诸侯国的长城连接起来，并将其延长，号称“万里长城”。长城，远远望去像一条长龙，在巍巍群\n\n\n\n山之间蜿蜒盘旋。它全长一万三千多里。国父孙中山参观长城后，评价道：“中国最有名之工程者，万里长城也。工程之大，古无其匹，为世界独一之奇观。”', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！', '明清时期乾清宫是皇帝的寝宫，直到清雍正皇帝为了给康熙皇帝居丧守制将寝宫移到了养心殿,乾清宫就成为了皇帝处理日常政务的地方。明朝的“壬寅宫变”、“红丸案”、“移宫案”，都发生在这里。另外，清朝的康熙和乾隆皇帝还曾经在这里举行过千叟宴。']","长城的全长约为一万三千多里，也就是大约6,400公里。它蜿蜒盘旋于巍峨群山之间，是一项令人叹为观止的世界级工程奇迹。如果您还有其他关于长城的问题，欢迎继续提问！ [{'title': './2023北京导游词.docx', 'content': '长城\n\n尊敬的游客朋友：\n\n\n\n大家好！欢迎您来到长城游玩，希望我们的服务能让您多一份欢乐，也希望您能玩得开心，玩得尽兴，玩得满足。接下来，我先向诸位介绍一下长城的概况。\n\n长城位于北京的北面，始建于春秋战国时期。那时各个诸侯国为了互相防御，就在自己境内地势险要的地方修筑长城。秦始皇统一中国后，为防御北方匈奴的入侵，便将各诸侯国的长城连接起来，并将其延长，号称“万里长城”。长城，远远望去像一条长龙，在巍巍群\n\n\n\n山之间蜿蜒盘旋。它全长一万三千多里。国父孙中山参观长城后，评价道：“中国最有名之工程者，万里长城也。工程之大，古无其匹，为世界独一之奇观。”'}, {'title': './2023北京导游词.docx', 'content': '随着参观定陵的活动结束，我们今天的明十三陵之行也将近尾声了，相信大家一定都为这座巨大的帝王陵墓群而感叹，随着我国文物保护工作的不断开展，国家投入了大量的资金修缮明十三陵，这座规模宏大的帝王陵寝也将被永久地保存下去。同时，我也希望各位游客能对这里留下美好的印象，欢迎各位下次再来参观。\n\n\n\n\n\n长城\n\n尊敬的游客朋友：'}, {'title': './2023北京导游词.docx', 'content': '长城\n\n尊敬的游客朋友：\n\n\n\n大家好！欢迎您来到长城游玩，希望我们的服务能让您多一份欢乐，也希望您能玩得开心，玩得尽兴，玩得满足。接下来，我先向诸位介绍一下长城的概况。'}]",长城的全长约为一万三千多里，也就是大约6700公里。,0.6764713612698482,0.75,0.9999999999,1.0
天安门明代叫什么？,"['天安门是皇城的正门，明代叫“承天门”，取“承天启运，受命于天”之意，后来多次被毁，又多次重建。直到清初顺治年间，顺治皇帝下命按照明代的建筑规制重建承天门并改名为“天安门”。名称一直沿用至今。天安门广场在明清时期为一个“T”字形的封闭广场，这里属于皇宫的前导部分。解放以后，这里经过多次的改建与扩建，形成了今天的建筑格局。', '天安门和天安门广场（明清时期）\n\n大家好，今天我给大家讲解的是明清时期的天安门及天安门广场。天安门和天安门广场位于北京市中心，历史悠久，它建于明永乐十五年（1417 年）。\n\n天安门是皇城的正门，明代叫“承天门”，取“承天启运，受命于天”之意，后来多次被毁，又多次重建。直到清初顺治年间，顺治皇帝下命按照明代的建筑规制重建承天门并改名为“天安门”。名称一直沿用至今。天安门广场在明清时期为一个“T”字形的封闭广场，这里属于皇宫的前导部分。解放以后，这里经过多次的改建与扩建，形成了今天的建筑格局。\n\n首先，我给大家介绍一下明清时期的天安门及周边建筑。明清时期的天安门通高 33.7', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！']","明代时，天安门被称为“承天门”。它建于明永乐十五年（1417年），是当时紫禁城的正门之一。到了清朝顺治年间，在重建之后才改名为“天安门”，并一直沿用至今。希望这个信息对您有所帮助！如果您还有其他问题或需要进一步了解的内容，请随时告诉我。 [{'title': './2023北京导游词.docx', 'content': '天安门和天安门广场（明清时期）\n\n大家好，今天我给大家讲解的是明清时期的天安门及天安门广场。天安门和天安门广场位于北京市中心，历史悠久，它建于明永乐十五年（1417 年）。'}, {'title': './2023北京导游词.docx', 'content': '首先，我给大家介绍一下明清时期的天安门及周边建筑。明清时期的天安门通高 33.7'}, {'title': './2023北京导游词.docx', 'content': '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！'}]",承天门,0.816562716724285,0.9375,0.99999999995,1.0
长城和故宫哪一个历史更久？,"['故宫位于北京市城区中心，是明、清两代的皇宫，是当今世界上现存规模最大、建筑最雄伟、保存最完整的古代皇家宫殿。故宫又叫紫禁城。紫禁城是中国五个多世纪以来的最高权力中心，它以园林景观和容纳了家具及工艺品的 9000 个房间的庞大建筑群，成为明清时代中国文明无价的历史见证。1987 年，北京故宫被联合国教科文组织列入《世界遗产名录》。', '明清时期的天安门及天安门广场我就给大家介绍到这里。谢谢！\n\n\n\n故宫\n\n各位朋友，先自我介绍一下。今天我将带大家参观故宫博物院，现在我先为大家作个简单的介绍。\n\n故宫位于北京市城区中心，是明、清两代的皇宫，是当今世界上现存规模最大、建筑最雄伟、保存最完整的古代皇家宫殿。故宫又叫紫禁城。紫禁城是中国五个多世纪以来的最高权力中心，它以园林景观和容纳了家具及工艺品的 9000 个房间的庞大建筑群，成为明清时代中国文明无价的历史见证。1987 年，北京故宫被联合国教科文组织列入《世界遗产名录》。', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！']","长城的建造始于春秋战国时期，各个诸侯国为了互相防御，在自己境内地势险要的地方修筑长城。秦始皇统一中国后，将各诸侯国的长城连接起来，并将其延长，形成了“万里长城”。

故宫则是明、清两代的皇宫，它始建于明朝永乐年间（1406年开始建设），是当今世界上现存规模最大、建筑最雄伟、保存最完整的古代皇家宫殿。

从历史的角度来看，长城的历史比故宫更为久远，因为长城的修建早于故宫大约一千多年。不过，两者都是中国古代文明的重要象征，各自承载着丰富的历史和文化价值。如果您对这两个景点中的任何一个感兴趣，我可以为您提供更详细的介绍。 [{'title': './2023北京导游词.docx', 'content': '故宫位于北京市城区中心，是明、清两代的皇宫，是当今世界上现存规模最大、建筑最雄伟、保存最完整的古代皇家宫殿。故宫又叫紫禁城。紫禁城是中国五个多世纪以来的最高权力中心，它以园林景观和容纳了家具及工艺品的 9000 个房间的庞大建筑群，成为明清时代中国文明无价的历史见证。1987 年，北京故宫被联合国教科文组织列入《世界遗产名录》。'}, {'title': './2023北京导游词.docx', 'content': '年 10 月 10 日，紫禁城改称“故宫博物院”，正式对社会开放。'}, {'title': './2023北京导游词.docx', 'content': '明清时期的天安门及天安门广场我就给大家介绍到这里。谢谢！\n\n\n\n故宫\n\n各位朋友，先自我介绍一下。今天我将带大家参观故宫博物院，现在我先为大家作个简单的介绍。'}]",长城,0.7079170174959607,0.3888888888888889,0.0,0.0
什么是北京中轴线上唯一的宗教性建筑？,"['故宫位于北京市城区中心，是明、清两代的皇宫，是当今世界上现存规模最大、建筑最雄伟、保存最完整的古代皇家宫殿。故宫又叫紫禁城。紫禁城是中国五个多世纪以来的最高权力中心，它以园林景观和容纳了家具及工艺品的 9000 个房间的庞大建筑群，成为明清时代中国文明无价的历史见证。1987 年，北京故宫被联合国教科文组织列入《世界遗产名录》。', '层重檐歇山顶建制，覆盖绿色琉璃瓦。箭楼上面设有箭窗 94 个，在打仗时这里可以射杀城外的敌人。城楼和箭楼是当时北京内城中最高大的宏伟的建筑。城楼和箭楼围成的空间称“瓮城”。瓮城内东侧是观音庙，明清时期这两座庙的香火非常旺盛。瓮城前是正阳桥与五牌楼。\n\n明清时期的天安门及天安门广场我就给大家介绍到这里。谢谢！\n\n\n\n故宫', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！']","北京中轴线上唯一的宗教性建筑是天坛。不过，您的问题可能是指位于北京中轴线上的重要宗教建筑——天坛祈年殿。它并不是严格意义上的“唯一”宗教建筑，但它是这条线上非常著名且具有宗教意义的建筑之一。天坛是明清两代皇帝祭天、祈谷的地方，祈年殿则是天坛内最重要的建筑之一，用于举行祈求丰收的仪式。

如果您想了解更多关于天坛的信息，或者有其他景点需要了解，请告诉我！ [{'title': './2023北京导游词.docx', 'content': '首先，我给大家介绍一下明清时期的天安门及周边建筑。明清时期的天安门通高 33.7'}, {'title': './2023北京导游词.docx', 'content': '故宫位于北京市城区中心，是明、清两代的皇宫，是当今世界上现存规模最大、建筑最雄伟、保存最完整的古代皇家宫殿。故宫又叫紫禁城。紫禁城是中国五个多世纪以来的最高权力中心，它以园林景观和容纳了家具及工艺品的 9000 个房间的庞大建筑群，成为明清时代中国文明无价的历史见证。1987 年，北京故宫被联合国教科文组织列入《世界遗产名录》。'}, {'title': './2023北京导游词.docx', 'content': '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！'}]",钦安殿,0.8652234705225988,0.0,0.0,0.0
什么是金凤颁诏？,"['，盖上御宝，把诏书敬放在云盘内，捧出太和门，置于抬着的龙亭内，再出午门，登上天安门城楼。然后将诏书恭放于宣诏台上，由宣诏官进行宣读。文武百官按等级依次排列于金水桥南，面北而跪恭听。宣诏完毕，就把皇帝诏书衔放在一只木雕金凤的嘴里，再用黄绒绳从上系下，礼部官员托着朵云盘在下跪接，接着用龙亭将诏书抬到礼部，经黄纸誊写，分送各地，布告天下。这种颁发封建帝王圣旨礼仪的全过程，就叫做“金凤颁诏”。', '书衔放在一只木雕金凤的嘴里，再用黄绒绳从上系下，礼部官员托着朵云盘在下跪接，接着用龙亭将诏书抬到礼部，经黄纸誊写，分送各地，布告天下。这种颁发封建帝王圣旨礼仪的全过程，就叫做“金凤颁诏”。', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！']","金凤颁诏是古代中国皇帝发布诏书的一种隆重仪式。在这一过程中，皇帝的诏书会被盖上御宝，并放置在一个特制的云盘内，然后由太和门捧出，经过午门，最终登上天安门城楼。诏书被恭敬地放在宣诏台上，由专门的官员宣读给文武百官听。这些官员们会按照等级排列于金水桥南边，面向北方跪着聆听。

宣读完毕后，诏书会被放入一只木雕的金凤凰口中，再通过黄绒绳从高处缓缓降下。礼部的官员会在下面用朵云盘接住诏书，随后将诏书抬到礼部进行誊写并分发至全国各地，以此方式向天下宣告皇帝的旨意。整个过程就被称为“金凤颁诏”。这是一种非常庄重且富有象征意义的皇家礼仪。 [{'title': './2023北京导游词.docx', 'content': '，盖上御宝，把诏书敬放在云盘内，捧出太和门，置于抬着的龙亭内，再出午门，登上天安门城楼。然后将诏书恭放于宣诏台上，由宣诏官进行宣读。文武百官按等级依次排列于金水桥南，面北而跪恭听。宣诏完毕，就把皇帝诏书衔放在一只木雕金凤的嘴里，再用黄绒绳从上系下，礼部官员托着朵云盘在下跪接，接着用龙亭将诏书抬到礼部，经黄纸誊写，分送各地，布告天下。这种颁发封建帝王圣旨礼仪的全过程，就叫做“金凤颁诏”。'}, {'title': './2023北京导游词.docx', 'content': '书衔放在一只木雕金凤的嘴里，再用黄绒绳从上系下，礼部官员托着朵云盘在下跪接，接着用龙亭将诏书抬到礼部，经黄纸誊写，分送各地，布告天下。这种颁发封建帝王圣旨礼仪的全过程，就叫做“金凤颁诏”。'}, {'title': './2023北京导游词.docx', 'content': '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！'}]",明清两朝在天安门城楼上举行的一种隆重的仪式，用于皇帝向全国颁布诏书。,0.8492006786866328,,0.9999999999,1.0
金水河上的桥都有哪些？,"['向东南的河，相对于流经天安门前的金水河，称作内金水河。河上跨汉白玉石桥五座。内金水河的作用主要有：宣泄宫内的雨水、防止火灾汲水灭火、满足宫廷营造用水、风水中设计的需要、美化环境装饰景观。', '天安门城楼前有什么设施呢？在城楼南面有一条河称“金水河”。它为什么叫金水河呢？因为五行中西方属金，北方属水，此河从西北流向东南，故称“金水河”。金水河上有七座汉白玉石桥，中间五座正对着天安门城台的五个券门，中间的桥最宽等级最高为御路桥，桥栏望柱上雕刻着精美的云龙图案。它是供帝后专用的；御路桥两侧为皇族桥，桥身比御路桥略窄，等级次之，它是供宗室帝王行走的；皇族桥两侧为品级桥，桥身比皇族桥略窄，等级', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！']","金水河上的桥主要指的是位于天安门前的内金水河上跨过的汉白玉石桥。在天安门城楼南面的金水河上有七座这样的石桥，它们正对着天安门城台的五个券门。中间最宽的一座桥被称为御路桥，是专供帝后使用的，并且桥栏望柱上雕刻有精美的云龙图案。御路桥两侧分别是皇族桥，等级次之，供宗室帝王行走；再往外则是品级桥，供其他官员使用。

这些桥梁不仅具有实用功能，还承载着丰富的历史和文化意义，是游览天安门广场时不可错过的景观之一。如果您计划参观，请注意穿着舒适的鞋子，因为您可能会走很多路。同时，考虑到北京的天气变化，请提前查看当天的天气预报并做好相应的准备。 [{'title': './2023北京导游词.docx', 'content': '向东南的河，相对于流经天安门前的金水河，称作内金水河。河上跨汉白玉石桥五座。内金水河的作用主要有：宣泄宫内的雨水、防止火灾汲水灭火、满足宫廷营造用水、风水中设计的需要、美化环境装饰景观。'}, {'title': './2023北京导游词.docx', 'content': '天安门城楼前有什么设施呢？在城楼南面有一条河称“金水河”。它为什么叫金水河呢？因为五行中西方属金，北方属水，此河从西北流向东南，故称“金水河”。金水河上有七座汉白玉石桥，中间五座正对着天安门城台的五个券门，中间的桥最宽等级最高为御路桥，桥栏望柱上雕刻着精美的云龙图案。它是供帝后专用的；御路桥两侧为皇族桥，桥身比御路桥略窄，等级次之，它是供宗室帝王行走的；皇族桥两侧为品级桥，桥身比皇族桥略窄，等级'}, {'title': './2023北京导游词.docx', 'content': '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！'}]",金水河上共有七座汉白玉石桥，这些桥根据其位置和用途有着不同的等级。,0.6271134106579948,0.5,0.49999999995,1.0
故宫什么时候建成的,"['故宫又名紫禁城,建成于明永乐十八年,是中国保存最完整、规模最大的古代皇宫建筑群。明建文帝削藩引起燕王朱棣不满，朱棣通过“靖难之役”夺得皇位，定都南京。因北京是朱 棣的龙兴之地，亲信、势力都集中在北京，而且，北京地处北方咽喉要地，有利于抗击北元 残余势力的南犯。所以，永乐皇帝下令迁都北京。明永乐四年，明成祖朱棣下诏，正式启动 北京宫城的建设。此间动用工匠 23', '【午门前讲故宫导游词】\n\n\n\n故宫又名紫禁城,建成于明永乐十八年,是中国保存最完整、规模最大的古代皇宫建筑群。明建文帝削藩引起燕王朱棣不满，朱棣通过“靖难之役”夺得皇位，定都南京。因北京是朱 棣的龙兴之地，亲信、势力都集中在北京，而且，北京地处北方咽喉要地，有利于抗击北元 残余势力的南犯。所以，永乐皇帝下令迁都北京。明永乐四年，明成祖朱棣下诏，正式启动 北京宫城的建设。此间动用工匠 23 万、民夫百万，至永乐十八年竣工。永乐十九年元旦吉 日，明成祖朱棣御奉天殿受朝贺，紫禁城正式启用。', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！']","北京故宫，又称为紫禁城，始建于明朝时期。具体的建造开始于1406年，并在1420年基本完成，成为明、清两代的皇宫。它不仅是中国古代皇家宫殿建筑的典范，也是世界上现存规模最大、保存最为完整的木质结构古建筑之一。自1987年起，北京故宫被联合国教科文组织列入《世界遗产名录》。希望这些信息能够帮助您更好地了解故宫的历史背景！如果您还有其他问题或需要更详细的介绍，请随时告诉我。 [{'title': './2023北京导游词.docx', 'content': '故宫位于北京市城区中心，是明、清两代的皇宫，是当今世界上现存规模最大、建筑最雄伟、保存最完整的古代皇家宫殿。故宫又叫紫禁城。紫禁城是中国五个多世纪以来的最高权力中心，它以园林景观和容纳了家具及工艺品的 9000 个房间的庞大建筑群，成为明清时代中国文明无价的历史见证。1987 年，北京故宫被联合国教科文组织列入《世界遗产名录》。'}, {'title': './2023北京导游词.docx', 'content': '明清时期的天安门及天安门广场我就给大家介绍到这里。谢谢！\n\n\n\n故宫\n\n各位朋友，先自我介绍一下。今天我将带大家参观故宫博物院，现在我先为大家作个简单的介绍。\n\n故宫位于北京市城区中心，是明、清两代的皇宫，是当今世界上现存规模最大、建筑最雄伟、保存最完整的古代皇家宫殿。故宫又叫紫禁城。紫禁城是中国五个多世纪以来的最高权力中心，它以园林景观和容纳了家具及工艺品的 9000 个房间的庞大建筑群，成为明清时代中国文明无价的历史见证。1987 年，北京故宫被联合国教科文组织列入《世界遗产名录》。'}, {'title': './2023北京导游词.docx', 'content': '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！'}]",建成于明朝永乐十八年（公元1420年）,0.6593582311368279,0.5555555555555556,0.99999999995,1.0
长城什么时候开始建造的？,"['长城位于北京的北面，始建于春秋战国时期。那时各个诸侯国为了互相防御，就在自己境内地势险要的地方修筑长城。秦始皇统一中国后，为防御北方匈奴的入侵，便将各诸侯国的长城连接起来，并将其延长，号称“万里长城”。长城，远远望去像一条长龙，在巍巍群\n\n\n\n山之间蜿蜒盘旋。它全长一万三千多里。国父孙中山参观长城后，评价道：“中国最有名之工程者，万里长城也。工程之大，古无其匹，为世界独一之奇观。”', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！', '明清时期乾清宫是皇帝的寝宫，直到清雍正皇帝为了给康熙皇帝居丧守制将寝宫移到了养心殿,乾清宫就成为了皇帝处理日常政务的地方。明朝的“壬寅宫变”、“红丸案”、“移宫案”，都发生在这里。另外，清朝的康熙和乾隆皇帝还曾经在这里举行过千叟宴。']","长城的建造始于春秋战国时期，那时各个诸侯国为了互相防御，就在自己境内地势险要的地方修筑长城。到了秦始皇统一中国后，为防御北方匈奴的入侵，他将各诸侯国的长城连接起来，并将其延长，形成了著名的“万里长城”。因此，可以说长城的建设是一个长期的过程，但其作为连贯防御体系的形成则是在秦朝时期。希望这个介绍对您有所帮助！如果您还有其他问题或需要进一步的信息，请随时告诉我。 [{'title': './2023北京导游词.docx', 'content': '长城\n\n尊敬的游客朋友：\n\n\n\n大家好！欢迎您来到长城游玩，希望我们的服务能让您多一份欢乐，也希望您能玩得开心，玩得尽兴，玩得满足。接下来，我先向诸位介绍一下长城的概况。\n\n长城位于北京的北面，始建于春秋战国时期。那时各个诸侯国为了互相防御，就在自己境内地势险要的地方修筑长城。秦始皇统一中国后，为防御北方匈奴的入侵，便将各诸侯国的长城连接起来，并将其延长，号称“万里长城”。长城，远远望去像一条长龙，在巍巍群\n\n\n\n山之间蜿蜒盘旋。它全长一万三千多里。国父孙中山参观长城后，评价道：“中国最有名之工程者，万里长城也。工程之大，古无其匹，为世界独一之奇观。”'}, {'title': './2023北京导游词.docx', 'content': '随着参观定陵的活动结束，我们今天的明十三陵之行也将近尾声了，相信大家一定都为这座巨大的帝王陵墓群而感叹，随着我国文物保护工作的不断开展，国家投入了大量的资金修缮明十三陵，这座规模宏大的帝王陵寝也将被永久地保存下去。同时，我也希望各位游客能对这里留下美好的印象，欢迎各位下次再来参观。\n\n\n\n\n\n长城\n\n尊敬的游客朋友：'}, {'title': './2023北京导游词.docx', 'content': '长城\n\n尊敬的游客朋友：\n\n\n\n大家好！欢迎您来到长城游玩，希望我们的服务能让您多一份欢乐，也希望您能玩得开心，玩得尽兴，玩得满足。接下来，我先向诸位介绍一下长城的概况。'}]",修建始于春秋战国时期。,0.6237266527326671,0.75,0.9999999999,1.0
颐和园占地有多大？,"['我们即将所看到的颐和园共占地 290 公顷，其中陆地四分之一，水面达到了四分之三。根据皇家园林建园的用途和特点，可将颐和园景区分为政治活动区，帝后生活区和风景游览区三个部分。\n\n来到了东宫门，我们本次的游览也就正式开始了。', '作为他的私人财产一度开放，但是因为交通不便票价昂贵等原因，没什么人来。在 1924 年溥仪被逐出颐和园后，北洋政府将这里正式改为对外开放的公园。1948 年 12 月，人民政府接手这里后，经过综合治理，仍然保持着其皇家园林的风貌。而且这里还成为世界上造景丰富、建筑集中、保存最完整的皇家园林。\n\n我们即将所看到的颐和园共占地 290 公顷，其中陆地四分之一，水面达到了四分之三。根据皇家园林建园的用途和特点，可将颐和园景区分为政治活动区，帝后生活区和风景游览区三个部分。\n\n来到了东宫门，我们本次的游览也就正式开始了。', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！']","颐和园占地面积约为2.9平方千米，其中水面约占四分之三。它是中国现存规模最大、保存最完整的皇家园林之一。希望这个信息对您有所帮助！如果您还有其他问题或需要进一步的介绍，请随时告诉我。 [{'title': './2023北京导游词.docx', 'content': '这里是天坛的东门，关于天坛就给大家介绍到这里，谢谢大家。\n\n颐和园\n\n各位游客大家好，我是**旅行社的导游员，今天就有我来带领大家共同游览这个清代的皇家园林——颐和园。希望我的讲解能够令各位满意，是我们共同度过这一美好的时光。\n\n我们现在即将前往的就是颐和园，利用这一段时间，我向大家简短地介绍一下颐和园的历史以及现在的状况。'}, {'title': './2023北京导游词.docx', 'content': '绛雪轩位于御花园的东南侧，平面呈“凸”字形，以前在绛雪轩门前有多颗海棠树，花开时节，微风袭来，红色的花瓣纷纷落下，似雪花飞舞，故名。养性斋位于御花园的西南侧，平面呈“凹”字形，与“凸”字形的绛雪轩相对应。嘉庆、道光两位皇帝经常到此休息读书，溥仪曾在这里学习英文。'}, {'title': './2023北京导游词.docx', 'content': '皇子们上、下学都要在这里向孔圣人行礼。西一间是敬事房，是专管宫内太监的地方。西二间是南书房，传说康熙擒鳌拜就在此处。东庑的端凝殿用于存放皇帝的衣冠，溥仪剪下的辫子曾存放在此处。西庑的懋勤殿曾是皇帝进行“朝审勾到”的地方。朝审是明清两代在秋天会审死刑案件的地方。如果皇帝批准执行死刑，就用朱笔把死刑犯的名字勾去，称“勾决”。'}]",290公顷,0.5988948536488186,0.5,0.99999999995,1.0
谁正式把颐和园改成对外开放的公园,"['作为他的私人财产一度开放，但是因为交通不便票价昂贵等原因，没什么人来。在 1924 年溥仪被逐出颐和园后，北洋政府将这里正式改为对外开放的公园。1948 年 12 月，人民政府接手这里后，经过综合治理，仍然保持着其皇家园林的风貌。而且这里还成为世界上造景丰富、建筑集中、保存最完整的皇家园林。', '1860 年这里被英法联军抢掠并且烧毁了。过了一些年，慈禧太后挪用了海军经费对这里进行了重建，而且光绪皇帝下昭将这里改名为颐和园。可是在 1900 年的时候，颐和园又再次遭到了八国联军（俄英法德意日美奥）的严重破坏。从此之后对这里所进行的重修，因为财力不足，所以后山部分长期都没有修复。到了 1912 年，依照清史的优待条件，颐和园仍然掌握在逊帝溥仪手中。过了两年，这里曾', '今天的长城，早已失去军事价值，而以其特有的魅力，吸引着广大中外游客，成为举世闻名的旅游胜地。随着旅游业的发展，长城这一中华民族的象征，全世界重要的文化遗产，\n\n会焕发出新的生机。以更优质的旅游服务、更优美的旅游环境迎接着大家的到来！']","颐和园作为清代的皇家园林，其对外开放的历史可以追溯到1924年。那一年，溥仪被逐出紫禁城后，颐和园开始对公众开放。不过，正式将颐和园改为对外开放公园的具体人物或机构并没有在上述信息中明确指出。根据历史资料，这一转变是当时政府决定的结果，而非某个特定个人的行为。如果您需要更详细的信息，我可以进一步查找。您是否还需要了解其他关于颐和园的信息？ [{'title': './2023北京导游词.docx', 'content': '这里是天坛的东门，关于天坛就给大家介绍到这里，谢谢大家。\n\n颐和园\n\n各位游客大家好，我是**旅行社的导游员，今天就有我来带领大家共同游览这个清代的皇家园林——颐和园。希望我的讲解能够令各位满意，是我们共同度过这一美好的时光。\n\n我们现在即将前往的就是颐和园，利用这一段时间，我向大家简短地介绍一下颐和园的历史以及现在的状况。'}, {'title': './2023北京导游词.docx', 'content': '绛雪轩位于御花园的东南侧，平面呈“凸”字形，以前在绛雪轩门前有多颗海棠树，花开时节，微风袭来，红色的花瓣纷纷落下，似雪花飞舞，故名。养性斋位于御花园的西南侧，平面呈“凹”字形，与“凸”字形的绛雪轩相对应。嘉庆、道光两位皇帝经常到此休息读书，溥仪曾在这里学习英文。'}, {'title': './2023北京导游词.docx', 'content': '皇子们上、下学都要在这里向孔圣人行礼。西一间是敬事房，是专管宫内太监的地方。西二间是南书房，传说康熙擒鳌拜就在此处。东庑的端凝殿用于存放皇帝的衣冠，溥仪剪下的辫子曾存放在此处。西庑的懋勤殿曾是皇帝进行“朝审勾到”的地方。朝审是明清两代在秋天会审死刑案件的地方。如果皇帝批准执行死刑，就用朱笔把死刑犯的名字勾去，称“勾决”。'}]","民国时期,北洋政府",0.0,0.7142857142857143,0.9999999999,1.0
